Node_ID,Primary_Street,Secondary_Street,Morphological_Clutter,Altitude_m,Latitude,Longitude,Serving_GW_ID,RSSI_dBm,Status
143,Avenida 6 de Diciembre,Guillermo Bodero,Residential,2777,-0.1936301,-78.481774,2,-81.36,CONNECTED
144,Avenida 6 de Diciembre,Hugo Moncayo,Residential,2788,-0.1725361,-78.4765811,1,-71.75,CONNECTED
145,Avenida 6 de Diciembre,Ignacio Bossano,Residential,2783,-0.1887888,-78.4803088,2,-94,CONNECTED
146,Avenida 6 de Diciembre,Irlanda,Residential,2779,-0.184064,-78.4790662,2,-100.54,CONNECTED
147,Avenida 6 de Diciembre,Jose Correa,Residential,2783,-0.1761628,-78.4776018,1,-88.52,CONNECTED
148,Avenida 6 de Diciembre,José Bosmediano,Residential,2777,-0.1874095,-78.4796478,2,-96.44,CONNECTED
149,Avenida 6 de Diciembre,José Bosmediano,Residential,2779,-0.1872615,-78.4795967,2,-96.66,CONNECTED
150,Avenida 6 de Diciembre,Juan Boussingault,Residential,2771,-0.1914583,-78.4809295,2,-88.56,CONNECTED
151,Avenida 6 de Diciembre,Julio Moreno,Residential,2782,-0.1808635,-78.4784811,1,-97.36,CONNECTED
152,Avenida 6 de Diciembre,La Niña,Residential,2786,-0.2000233,-78.4850759,2,-85.61,CONNECTED
153,Avenida 6 de Diciembre,Louvre Rousseau,Residential,2795,-0.1642339,-78.4753855,1,-91.79,CONNECTED
154,Avenida 6 de Diciembre,Luis Martínez,Dense Urban,2783,-0.1944285,-78.4822504,2,-109.46,CONNECTED
155,Avenida 6 de Diciembre,Manuel María Sánchez,Residential,2783,-0.1778757,-78.4779906,1,-92.45,CONNECTED
156,Avenida 6 de Diciembre,Manuel María Sánchez,Residential,2786,-0.1784842,-78.4780897,1,-93.6,CONNECTED
157,Avenida 6 de Diciembre,Maria Angelica Carrillo,Residential,2780,-0.1746806,-78.4772136,1,-83.86,CONNECTED
158,Avenida 6 de Diciembre,Maria Angelica Carrillo,Residential,2782,-0.1746002,-78.4771903,1,-83.55,CONNECTED
159,Avenida 6 de Diciembre,N44b,Residential,2790,-0.161436,-78.4763069,1,-96.51,CONNECTED
160,Avenida 6 de Diciembre,N44c,Residential,2791,-0.1612848,-78.4763899,1,-96.73,CONNECTED
161,Avenida 6 de Diciembre,Noruega,Residential,2779,-0.1864746,-78.4795166,2,-97.68,CONNECTED
162,Avenida 6 de Diciembre,Pasaje Carlos Tamayo,Residential,2784,-0.1807748,-78.4786214,1,-97.28,CONNECTED
163,Avenida 6 de Diciembre,Pasaje los Naranjos N35a,Residential,2783,-0.1812696,-78.478687,1,-97.95,CONNECTED
164,Avenida 6 de Diciembre,Pedro Ponce Carrasco,Residential,2777,-0.1922849,-78.4813691,2,-85.95,CONNECTED
165,Avenida 6 de Diciembre,Pedro Ponce Carrasco,Residential,2778,-0.1923412,-78.4812805,2,-85.99,CONNECTED
166,Avenida 6 de Diciembre,Portete,Residential,2786,-0.1734225,-78.4768471,1,-78.06,CONNECTED
167,Avenida 6 de Diciembre,San Ignacio,Residential,2787,-0.2003949,-78.4851402,2,-86.76,CONNECTED
168,Avenida 6 de Diciembre,Turquia,Residential,2786,-0.1788943,-78.4783308,1,-94.4,CONNECTED
169,Avenida 6 de Diciembre,Vía Interoceánica,Residential,2773,-0.1905368,-78.4809402,2,-90.38,CONNECTED
170,Avenida 6 de Diciembre,Whymper,Dense Urban,2782,-0.1942561,-78.4820525,2,-111.21,CONNECTED
171,Avenida 6 de Diciembre,Whymper,Dense Urban,2782,-0.1941747,-78.4820144,2,-111.7,CONNECTED
172,Avenida 6 de Diciembre,Whymper,Dense Urban,2784,-0.1941581,-78.4821226,2,-111.22,CONNECTED
173,Avenida América,Avenida de la Prensa,Residential,2782,-0.1678095,-78.4869994,1,-98.84,CONNECTED
174,Avenida América,Avenida de la Prensa,Residential,2791,-0.1662794,-78.4870866,1,-99.56,CONNECTED
175,Avenida América,Buoguer,Residential,2795,-0.1674898,-78.4874862,1,-99.51,CONNECTED
176,Avenida Atahualpa,Avenida Río Amazonas,Residential,2780,-0.181589,-78.4866579,2,-102.21,CONNECTED
177,Avenida Atahualpa,Avenida Río Amazonas,Residential,2781,-0.1816044,-78.486534,2,-102.17,CONNECTED
178,Avenida Atahualpa,Avenida Río Amazonas,Residential,2781,-0.1814661,-78.4865135,2,-102.3,CONNECTED
179,Avenida Atahualpa,Avenida Río Amazonas,Residential,2781,-0.1814506,-78.4866335,2,-102.34,CONNECTED
180,Avenida Atahualpa,Juan Gonzalez,Residential,2789,-0.1817607,-78.487216,2,-102.15,CONNECTED
181,Avenida Atahualpa,Nuñez de Vela,Residential,2793,-0.1821962,-78.4877629,2,-101.86,CONNECTED
182,Avenida Diego de Almagro,Avenida Francisco de Orellana,Residential,2784,-0.1981402,-78.4866757,2,-82.38,CONNECTED
183,Avenida Diego de Almagro,Avenida Francisco de Orellana,Residential,2784,-0.1980716,-78.4864874,2,-81.62,CONNECTED
184,Avenida Diego de Almagro,Avenida Francisco de Orellana,Residential,2786,-0.1980336,-78.4866237,2,-81.92,CONNECTED
185,Avenida Diego de Almagro,Avenida de la República,Dense Urban,2776,-0.1956686,-78.4842158,2,-57.78,CONNECTED
186,Avenida Diego de Almagro,Avenida de la República,Dense Urban,2776,-0.1955462,-78.4841272,2,-70.45,CONNECTED
187,Avenida Diego de Almagro,Avenida de la República,Dense Urban,2777,-0.1957612,-78.4841736,2,-17.68,CONNECTED
188,Avenida Diego de Almagro,Avenida de la República,Dense Urban,2777,-0.1956402,-78.484086,2,-64.05,CONNECTED
189,Avenida Diego de Almagro,Belo Horizonte,Dense Urban,2780,-0.1969462,-78.4850205,2,-101.64,CONNECTED
190,Avenida Diego de Almagro,Bulgaria,Dense Urban,2778,-0.1929785,-78.4827732,2,-114.18,CONNECTED
191,Avenida Diego de Almagro,Francisco Andrade Marin,Residential,2773,-0.1921869,-78.4823263,2,-84.5,CONNECTED
192,Avenida Diego de Almagro,Francisco Andrade Marin,Residential,2773,-0.1921502,-78.4824282,2,-84.46,CONNECTED
193,Avenida Diego de Almagro,Hernan Cortez,Park/Periphery,2783,-0.199362,-78.4872058,2,-106.84,CONNECTED
194,Avenida Diego de Almagro,Juan Severino,Residential,2778,-0.19133,-78.4820811,2,-87.24,CONNECTED
195,Avenida Diego de Almagro,La Niña,Residential,2777,-0.1990418,-78.4870669,2,-85.66,CONNECTED
196,Avenida Diego de Almagro,La Pinta,Park/Periphery,2787,-0.1998299,-78.4874068,2,-108.34,CONNECTED
197,Avenida Diego de Almagro,La Pradera,Dense Urban,2782,-0.1963018,-78.4846977,2,-90.78,CONNECTED
198,Avenida Diego de Almagro,La Pradera,Dense Urban,2784,-0.1963302,-78.484589,2,-89.71,CONNECTED
199,Avenida Diego de Almagro,Mariano Aguilera,Dense Urban,2782,-0.196173,-78.4845979,2,-86.81,CONNECTED
200,Avenida Diego de Almagro,Pedro Ponce Carrasco,Residential,2774,-0.1919465,-78.4822294,2,-85.36,CONNECTED
201,Avenida Diego de Almagro,Pedro Ponce Carrasco,Residential,2775,-0.1919092,-78.482322,2,-85.34,CONNECTED
202,Avenida Diego de Almagro,Santa María,Park/Periphery,2791,-0.2006032,-78.4877443,2,-110.57,CONNECTED
203,Avenida Diego de Almagro,Vía Interoceánica,Residential,2776,-0.191324,-78.4815213,2,-87.98,CONNECTED
204,Avenida Diego de Almagro,Whymper,Dense Urban,2789,-0.1937114,-78.4829683,2,-109.74,CONNECTED
205,Avenida Diego de Almagro,Whymper,Dense Urban,2791,-0.1936515,-78.4830594,2,-109.8,CONNECTED
206,Avenida El Inca,Avenida de la Prensa,Residential,2794,-0.1615906,-78.4874946,1,-102.52,CONNECTED
207,Avenida El Inca,Avenida de la Prensa,Residential,2795,-0.1614842,-78.4873166,1,-102.46,CONNECTED
208,Avenida El Inca,Avenida de la Prensa,Residential,2795,-0.1614816,-78.4875072,1,-102.6,CONNECTED
209,Avenida El Inca,Avenida de la Prensa,Residential,2797,-0.1613366,-78.4873519,1,-102.58,CONNECTED
210,Avenida Eloy Alfaro,Avenida General Eloy Alfaro,Residential,2771,-0.1881557,-78.4814098,2,-94.21,CONNECTED
211,Avenida Eloy Alfaro,Avenida General Eloy Alfaro,Residential,2772,-0.1880417,-78.4814791,2,-94.36,CONNECTED
212,Avenida Francisco de Orellana,Avenida la Coruña,Residential,2793,-0.1998868,-78.4826542,2,-85.74,CONNECTED
213,Avenida Francisco de Orellana,Avenida la Coruña,Residential,2793,-0.1998216,-78.4827379,2,-85.45,CONNECTED
214,Avenida Francisco de Orellana,Avenida la Coruña,Residential,2795,-0.2000021,-78.482679,2,-86.05,CONNECTED
215,Avenida Francisco de Orellana,Avenida la Coruña,Residential,2795,-0.1999401,-78.4827717,2,-85.78,CONNECTED
216,Avenida Francisco de Orellana,La Colina,Residential,2792,-0.1996467,-78.4831652,2,-84.48,CONNECTED
217,Avenida Francisco de Orellana,La Colina,Residential,2793,-0.1995458,-78.4831062,2,-84.19,CONNECTED
218,Avenida Francisco de Orellana,Reina Victoria,Park/Periphery,2779,-0.1979291,-78.4874623,2,-104.13,CONNECTED
219,Avenida Francisco de Orellana,San Ignacio,Park/Periphery,2818,-0.2013956,-78.4815769,2,-126.5,CONNECTED
220,Avenida Francisco de Orellana,San Javier,Residential,2792,-0.1991901,-78.4837776,2,-82.38,CONNECTED
221,Avenida Francisco de Orellana,San Javier,Residential,2792,-0.1991042,-78.4836989,2,-82.08,CONNECTED
222,Avenida Francisco de Orellana,Whymper,Residential,2807,-0.200684,-78.4819208,2,-102.44,CONNECTED
223,Avenida Francisco de Orellana,Yánez Pinzón,Residential,2778,-0.1983164,-78.4856039,2,-80.08,CONNECTED
224,Avenida Francisco de Orellana,Yánez Pinzón,Residential,2779,-0.1984169,-78.4856451,2,-80.59,CONNECTED
225,Avenida Gaspar de Villarroel,Avenida General Eloy Alfaro,Residential,2832,-0.1725803,-78.4712395,1,-104.59,CONNECTED
226,Avenida Gaspar de Villarroel,Avenida General Eloy Alfaro,Residential,2833,-0.1713132,-78.4707056,1,-105.45,CONNECTED
227,Avenida Gaspar de Villarroel,Avenida General Eloy Alfaro,Residential,2834,-0.1727096,-78.4711608,1,-105.09,CONNECTED
228,Avenida Gaspar de Villarroel,Avenida General Eloy Alfaro,Residential,2834,-0.171492,-78.4706453,1,-105.73,CONNECTED
229,Avenida Gaspar de Villarroel,Avenida París,Residential,2780,-0.1705177,-78.477992,1,-73.96,CONNECTED
230,Avenida Gaspar de Villarroel,Avenida Río Amazonas,Residential,2781,-0.1693302,-78.4844578,1,-94.82,CONNECTED
