Node_ID,Primary_Street,Secondary_Street,Morphological_Clutter,Altitude_m,Latitude,Longitude,Serving_GW_ID,RSSI_dBm,Status
106,Avenida 6 de Diciembre,Avenida Portugal,Residential,2782,-0.1821402,-78.4788025,3,-39.5,CONNECTED
107,Avenida 6 de Diciembre,Avenida Portugal,Residential,2782,-0.1821277,-78.4786591,3,-34.11,CONNECTED
108,Avenida 6 de Diciembre,Avenida Río Coca,Residential,2790,-0.1633756,-78.4753226,6,-80.41,CONNECTED
109,Avenida 6 de Diciembre,Avenida Río Coca,Residential,2791,-0.1635237,-78.4750863,6,-81.09,CONNECTED
110,Avenida 6 de Diciembre,Avenida Río Coca,Dense Urban,2791,-0.1634748,-78.4752995,6,-113.42,CONNECTED
111,Avenida 6 de Diciembre,Avenida Río Coca,Residential,2791,-0.1634207,-78.4751119,6,-81.17,CONNECTED
112,Avenida 6 de Diciembre,Avenida Tomas de Berlanga,Residential,2784,-0.1657405,-78.4756293,6,-78.1,CONNECTED
113,Avenida 6 de Diciembre,Avenida Tomas de Berlanga,Residential,2784,-0.1656712,-78.4756157,6,-78.03,CONNECTED
114,Avenida 6 de Diciembre,Avenida Tomas de Berlanga,Residential,2785,-0.1657665,-78.4754842,6,-78.87,CONNECTED
115,Avenida 6 de Diciembre,Avenida Tomas de Berlanga,Residential,2785,-0.1656988,-78.4754715,6,-78.8,CONNECTED
116,Avenida 6 de Diciembre,Avenida de la República,Dense Urban,2774,-0.1970517,-78.4835537,9,-114.23,CONNECTED
117,Avenida 6 de Diciembre,Avenida de la República,Dense Urban,2775,-0.196947,-78.4835011,9,-113.58,CONNECTED
118,Avenida 6 de Diciembre,Avenida de las Palmeras,Residential,2790,-0.163172,-78.4752407,6,-81.18,CONNECTED
119,Avenida 6 de Diciembre,Avenida de los Granados,Residential,2786,-0.1692242,-78.476338,6,-86.79,CONNECTED
120,Avenida 6 de Diciembre,Avenida de los Granados,Residential,2786,-0.1692118,-78.476206,6,-86.9,CONNECTED
121,Avenida 6 de Diciembre,Avenida de los Granados,Residential,2787,-0.169316,-78.4762116,6,-87.17,CONNECTED
122,Avenida 6 de Diciembre,Avenida de los Granados,Residential,2787,-0.1693063,-78.4763527,6,-87,CONNECTED
123,Avenida 6 de Diciembre,Avenida de los Shyris,Residential,2772,-0.1902654,-78.481534,1,-70.95,CONNECTED
124,Avenida 6 de Diciembre,Avenida de los Shyris,Residential,2774,-0.1906829,-78.4818396,1,-66.05,CONNECTED
125,Avenida 6 de Diciembre,Avenida de los Shyris,Park/Periphery,2792,-0.159733,-78.4772427,6,-108.03,CONNECTED
126,Avenida 6 de Diciembre,Belo Horizonte,Dense Urban,2776,-0.1974945,-78.4837893,9,-116.91,CONNECTED
127,Avenida 6 de Diciembre,Belo Horizonte,Dense Urban,2779,-0.1975883,-78.4837031,9,-97.13,CONNECTED
